author,discribe,price,title
刘明亮 宋跃武 主编 张树玲 刘玲 王喜升 副主编,信息系统项目管理师考试是计算机软件水平考试的高级职称考试，《信息系统项目管理师教程》（第4版）是根据2022年审定通过的新大纲要求全新改版，是参加该级别考试的考生备考所需的官方学习资料。,¥168.00, 信息系统项目管理师教程（第4版）（全国计算机技术与软件专业技术资格（水平）考试指定用书） 水平考试，可获高级职称；信息系统项目管理师考试新版教程
谭志彬 柳纯录 主编,全国计算机专业技术资格考试办公室组织编写的考试指定用书 依据第2版大纲全新改版教程，涵盖系统集成项目管理工程师（项目经理）岗位所要求得主要只是及应用技术。 修订版教程用较大篇幅概括了： 信息和信息化知识； 特别增加关于新一代信息技术及其应用； 国家信息化发展规划； 电子商务发展规划； 智慧城市规划等； 补充了便于初次参加考试的考生应考所需的应用技术科目案例分析。,¥108.00, 系统集成项目管理工程师教程（第2版）（全国计算机技术与软件专业技术资格（水平）考试指定用书） 
全国计算机专业技术资格考试办公室,信息系统项目管理师考试大纲是计算机技术与软件专业技术资格（水平）考试用书，由全国计算机专业技术资格考试办公室组织编写，是考试命题的依据，同时也是考生的备考指南。通过该资格的考生，可获得高级职称（高级工程师）。,¥15.00, 信息系统项目管理师考试大纲（全国计算机技术与软件专业技术资格（水平）考试指定用书） 水平考试，可获高级职称；信息系统项目管理师考试新版大纲
薛大龙 主编,非凡作者阵容： 本书由具有丰富的软考命题、阅卷、培训经验的薛大龙老师呕心组织编写 内容系统： 本书保留了普通教材的系统性及完整性特点，但在易学性、有效性等方面进行了大幅提升。 一站式解决： 本书还配备了典型真题或模拟题及解析，再加上优秀论文范文等内容，同时具备了学习与实战的功能。 有的放矢： 通过对考试大纲的细致分析，突出考试中分数占比大的知识点及其他重点难点。 超高效率： 本书作者具有丰富软考培训经验，32小时超强学习架构正是他们多年宝贵经验的结晶。 思维导图： 快速让同学们在头脑中建立清晰学习地图，备考不盲目！,¥44.20, 信息系统项目管理师考试32小时通关（基于第四版新大纲） 基础知识+考点实练+考点分类强化+案例分析专题+论文专题+全真模拟题，资深软考专家编写，32小时超高学习效率
叶宏 主编 鲍亮、宋胜利、蔺一帅 副主编,系统架构设计师考试是计算机软件水平考试的高级职称考试，《系统架构设计师教程》（第2版）是根据2022年审定通过的新大纲要求全新改版，是参加该级别考试的考生备考所需的官方学习资料。,¥112.20, 系统架构设计师教程（第2版） 水平考试，可获高级职称；2023年系统架构设计师考试新版教程
施游 刘毅,方法独特，提炼精辟，已助数万考生轻松通过信息系统项目管理师考试 攻克要塞 软考研究 团队真情分享 5天精华，浓缩著名一线软考讲师10年黄金经验 基于历年考点频次大数据组织编写，内容科学，重点突出 精确匹配新考纲， 攻克要塞 APP提供全天侯学习支持,¥44.20, 信息系统项目管理师5天修炼（第四版）基于第四版新大纲 基于2023第四版考纲，教程+黄金经验+习题+全模+深入解析+公众号=6in1的一站式解决方案，内容历经数万考生检验
薛大龙 邹月平 主编,非凡作者阵容： 本书由具有丰富软考命题、阅卷、培训经验的薛大龙老师呕心组织编写。 内容系统： 本书保留了普通教材的系统性及完整性特点，但在易学性、有效性等方面进行了大幅提升。 一站式解决： 本书还配备了典型真题或模拟题及解析，再加上优秀论文范文等内容，同时具备了学习与实战的功能。 有的放矢： 通过对考试大纲的细致分析，突出考试中分数占比大的知识点及重点难点。 超高效率： 本书作者具有丰富软考培训经验，32小时超强学习架构正是他们多年宝贵经验的结晶。 思维导图： 快速让同学们在头脑中建立清晰学习地图，备考不盲目！,¥37.70, 系统架构设计师考试32小时通关（第二版） 知识点梳理+思维导图+补充知识+论文写作及范文+全真模拟题，资深软考专家编写，32小时超高学习效率
朱小平 施游 编著,5套近年真题，带您熟悉真实战场 1套全真模拟（押题）卷，领略大数据威力 答案准确，解析精彩，浓缩著名一线软考讲师10年黄金经验 以点带面，精准延伸，一个考点带动一片知识领域，火力精准延伸，效率事半功倍,¥31.20, 系统架构设计师真题精析与模拟试卷 多套真题+全真模拟押题+准确答案+名师解析
薛大龙,●多套近年真题，助您体验真实战场 ●1套押题密卷，领略大数据命中威力 ●答案准确，解析深刻，浓缩著名一线软考讲师10年黄金经验,¥38.00, 信息系统项目管理师真题精析与命题密卷（全国计算机技术与软件专业技术资格考试） 2023押题密卷+多套真题+准确答案+精彩解析；答案准确，解析明白，浓缩著名一线软考讲师10年黄金经验
全国计算机专业技术资格考试办公室,系统架构设计师考试大纲是全国计算机技术与软件专业技术资格（水平）考试用书，由全国计算机专业技术资格考试办公室组织编写，是考试命题的依据，同时也是考生的备考指南。通过该资格的考试，可获得高级资格（高级工程师）。,¥15.00, 系统架构设计师考试大纲（全国计算机技术与软件专业技术资格（水平）考试指定用书） 水平考试，可获高级职称；2023年系统架构设计师考试新版大纲
